Stock Group,Series name,Short description,Marketing description
MDXC,MDXCY-CL series,High Performance Flexible VSD Marine / Power Cable 0.6/1kV 90°C,"Firstflex MDXCY-CL Series is a flexible VSD marine and power cable designed for demanding applications. It features a transparent PVC sheath for easy inspection and durability, making it suitable for AC Variable Speed Drive (VSD) connections in fixed installations or occasional flexing without tensile load. The cable offers advanced RFI and EMI protection with double screening and interstitial earth cores (6mm² and above) to ensure effective shielding against electromagnetic interference. Constructed with tinned copper, it is flame retardant, UV stabilised, and resistant to moisture, oxidation, ozone, and sunlight. Additionally, it is rated for permanent submersion up to 200 metres, making it a reliable choice for marine, industrial, and submerged installations"
KSXC,KSXCY series,High Performance Fixed Copper Tape VSD Power Cable Flexible Conductors for Fixed Applications,"Firstflex KSXCY Series is a high-performance fixed wiring VSD power cable, designed for reliable connection of AC Variable Speed Drives (VSD) or other applications requiring fixed EMC screened cables. Featuring flexible Class 5 conductors, it offers ease of installation while maintaining robust performance. The cable's copper tape screening, combined with interstitial earth cores (6mm² and above), ensures effective RFI and EMI protection, minimizing interference and reactance with nearby devices. UV stabilised and flame retardant, it is resistant to heat, oil, and chemicals, making it suitable for demanding environments. For optimal performance, it should be earthed using EMC-compatible glands, such as the Firstflex GM-EMC-FT Series."
FDXC,FDXCY series,High Performance Flexible VSD Power Cable 0.6/1kV 90°C,"Firstflex FDXCY Series is a high-performance flexible VSD power cable designed for reliable operation in challenging environments. Ideal for AC Variable Speed Drive (VSD) connections, it provides flexibility for fixed installations and occasional flexing without tensile load. Featuring advanced RFI and EMI protection with double screening (CBS and foil tape) and interstitial earth cores (6mm² and above), it ensures excellent shielding against low-frequency and electromagnetic interference. The cable is UV stabilised, flame retardant, and moisture resistant, with robust resistance to oxidation, ozone, sunlight, heat, oil, and chemicals. For optimal performance, it should be earthed using an EMC-compatible gland, making it a dependable solution for industrial and commercial applications."
BFX,BFX series,Ultra Performance Flexible Rubber SDI Cable 0.6/1kV 110°C,"Firstflex BFX series cables are engineered for ultra-performance and versatility across various demanding applications. Featuring a Chemtuff sheath, they offer exceptional resistance to chemicals, solvents, oils, and fats. Ideal for power switchboards, flexible droppers from busbars, transformers, load banks, and other equipment requiring fixed or flexible cables, these cables also excel in pumping applications, being suitable for permanent submersion up to 500 metres. They are perfect for welding and electrode leads, generator sets for temporary power supplies, and automotive uses such as battery leads, jumpers, and electric forklifts. Additionally, the BFX series is excellent for audio equipment requiring oxygen-free copper wire and telecommunications where finely stranded large cross-section cables are needed for minimal voltage drop. Rated at 0.6/1kV and 110°C, these flexible rubber SDI cables deliver reliable performance in the toughest conditions."
PF,PF series,High Performance Flexible Cable 250/440V 90°C,"Firstflex PF series is a high-performance flexible cable rated at 250/440V and 90°C, designed for a wide range of applications. It is ideal for interconnecting various forms of lighting, including fluorescent fittings, high bays, low bays, floodlights, and reading lamps. Additionally, it is suitable for use as interconnection leads for appliances and as domestic power extension leads. The PF series features metre marking for better length control, extremely fine stranded copper conductors for superior flexibility and conductivity, and UV stabilisation for outdoor durability. It is also flame retardant and resistant to heat, oil, and chemicals, ensuring reliable performance in diverse environments."
MC,MC series,Standard Performance Fixed Circular TPS Cable 450/750V 90°C,"Firstflex MC Series is designed for a variety of applications, including power distribution for mains and submains in fixed installations, direct burial as part of a Category B wiring system, and outdoor use in wet locations not prone to mechanical damage. Additionally, with the correct explosion-proof glands, this cable can be installed in hazardous areas subject to explosion risks, in compliance with AS/NZS 60079.14. The product features metre marking for better length control, UV stabilisation, flame retardancy, and resistance to heat, oil, and chemicals."
MLS,MLG2 single series,"Ultra Performance Flexible Rubber Industrial / Marine Cable 0.6/1kV 90°C AS/NZS 5000.1, IEC 60092, H07RN-F","Firsflex MLG2 Series ultra performance flexible rubber cable is a versatile and robust solution designed for a wide range of industrial and marine applications. Rated at 0.6/1kV and capable of withstanding temperatures up to 90°C, this cable meets AS/NZS 5000.1, IEC 60092, and H07RN-F standards. It is ideal for hazardous areas when used with explosion-proof glands and can be submerged in polluted liquids up to 10 meters, making it perfect for wastewater treatment plants. The durable CPE sheath makes it suitable for outdoor temporary power supplies and lighting in entertainment settings. Additionally, its flexible tinned copper construction is Lloyds approved for marine use, including installation in pleasure craft and super yachts. The MLG2 Series is also excellent for power switchboards, flexible droppers, transformers, load banks, and construction sites due to its outstanding flexibility and durability. Notably, it can be permanently submerged up to 500 meters, making it ideal for pumping applications. Key features include UV stabilisation, flame retardance, water and moisture resistance, good elongation at break, excellent dielectric properties, and resistance to environmental factors such as oxidation, ozone, and sunlight. This cable also exhibits very good behaviour in varying outdoor temperatures, along with good tensile strength, tearing strength, and abrasion resistance."
OD,OD series,Ultra Performance Flexible Rubber Cable 250/440V 90°C,"Firstflex OD Series is an ultra-performance flexible rubber cable rated at 250/440V and 90°C, known for its exceptional durability and versatility. The CHEMTUFF Ordinary Duty OD Series is specifically designed for applications requiring high resistance to chemicals, solvents, oils, and fats. It is ideal for use as extension leads on construction sites due to its outstanding flexibility and excellent coiling characteristics, even in cold conditions. Additionally, it is suitable for powering machine tools, construction and engineering equipment, and conveyors. The OD Series boasts several key features: it is UV stabilised, flame retardant, extremely flexible, and resistant to water and moisture, making it suitable for permanent submersion up to 200 metres. Furthermore, it is resistant to heat, oil, and chemicals, ensuring reliable performance in demanding environments."
HD,HD series,Ultra Performance Flexible Rubber Double Sheath Cable 0.6/1kV 90°C,"Firstflex Chemtuff Twinskin HD Series is an ultra-performance flexible rubber double sheath cable designed for rigorous applications. Rated at 0.6/1kV and capable of withstanding temperatures up to 90°C, this cable is ideal for environments requiring high resistance to chemicals, solvents, oils, and fats. Its outstanding flexibility and cable memory make it perfect for extension leads on construction sites, while the double sheath with a separator provides extra safety for machine tools, construction and engineering equipment, and conveyors. The HD Series is also suitable for permanent submersion up to 200 metres, making it ideal for pumping applications. Additionally, its extra durable SER sheath ensures reliability for outdoor temporary power supply and lighting leads in entertainment settings. Key features include UV stabilisation, flame retardancy, extreme flexibility, water and moisture resistance, and resistance to heat, oil, and chemicals."
MLM,MLG2 multi series,"Ultra Performance Flexible Rubber Industrial / Marine Cable 0.6/1kV 90°C AS/NZS 5000.1, IEC 60092, H07RN-F","Firsflex MLG2 Series ultra performance flexible rubber cable is a versatile and robust solution designed for a wide range of industrial and marine applications. Rated at 0.6/1kV and capable of withstanding temperatures up to 90°C, this cable meets AS/NZS 5000.1, IEC 60092, and H07RN-F standards. It is ideal for hazardous areas when used with explosion-proof glands and can be submerged in polluted liquids up to 10 meters, making it perfect for wastewater treatment plants. The durable CPE sheath makes it suitable for outdoor temporary power supplies and lighting in entertainment settings. Additionally, its flexible tinned copper construction is Lloyds approved for marine use, including installation in pleasure craft and super yachts. The MLG2 Series is also excellent for power switchboards, flexible droppers, transformers, load banks, and construction sites due to its outstanding flexibility and durability. Notably, it can be permanently submerged up to 500 meters, making it ideal for pumping applications. Key features include UV stabilisation, flame retardance, water and moisture resistance, good elongation at break, excellent dielectric properties, and resistance to environmental factors such as oxidation, ozone, and sunlight. This cable also exhibits very good behaviour in varying outdoor temperatures, along with good tensile strength, tearing strength, and abrasion resistance."
EP,EP series,Extreme Performance Flexible Cable 0.6/1kV 90°C,"Firstflex EP Series Extreme Performance Flexible Cable 0.6/1kV 90°C is designed to meet the rigorous demands of various industries. Its microbe and hydrolysis-resistant, super durable PUR sheath makes it ideal for the food and beverage industry, as well as laboratory environments. This cable excels in applications requiring extreme wear resistance and reverse bending, such as floor sanding and drills. Its robust construction also makes it suitable for outdoor temporary power supplies, extension leads, and agricultural equipment. Additionally, the EP Series is perfect for materials and handling systems, including cable spring reelers and large energy chains. It maintains extreme flexibility even in low temperatures, making it suitable for use in freezers and ski fields. Key features include extreme resistance to abrasion, tearing, and notching, good reverse bending strength, a non-marking sheath, and resistance to environmental factors like oxidation, ozone, and sunlight. The cable is also halogen-free, UV stabilised, flame retardant, and resistant to water, moisture, seawater, wastewater, heat, oil, and chemicals. With excellent tensile strength, tearing strength, elongation at break, and dielectric properties, it also offers avian and rodent resistance."
CW,CW series,Standard Performance Fixed Building / Conduit Wire 0.6/1kV 90°C,"The Firstflex CW series is versatile, catering to various applications such as power distribution in switchboards and panel wiring, control and signal wiring in control panels, and wiring within metal or PVC conduits and other protective enclosures. It is also suitable for earthing in housing and light commercial buildings, as well as for earth bonding. This product boasts several features including flame retardancy, UV stabilisation, a tight bending radius, metre marking from 0.5mm to 25mm for better length control, and resistance to oil and chemicals."
SIHF,SIHF single series,High Performance Flexible Silicone Rubber High Temperature Cable 300/500V 180°C,"Firstflex SIHF Single-Core Series is a high-performance, flexible silicone rubber cable designed for extreme temperature applications. With a 300/500V rating and the ability to withstand temperatures up to 180°C, it is ideal for wiring kilns, boilers, lighting, and other high-heat environments. It also performs efficiently in low temperatures down to -60°C, making it suitable for industrial cool stores and freezers. Additionally, it is approved for public lighting installations in medical areas, ensuring reliable power distribution. Featuring a tinned fine-stranded copper conductor, halogen-free composition (IEC 60754), and high ignition resistance, the cable maintains excellent dielectric strength and insulation stability at elevated temperatures. It is flame retardant, UV stabilised, and resistant to oxidation, ozone, water, and moisture, ensuring long-lasting performance in demanding conditions. In the event of a fire, the silicone insulation forms a protective SiO? layer for enhanced safety. With superior heat, oil, and chemical resistance, the Firstflex SIHF Single-Core Series is a dependable choice for high-performance electrical installations."
DANG,,Danger Signs,"Firstflex Danger Signs are rigid plastic safety warnings, designed for clear visibility in hazardous areas. Featuring pre-slotted holes for easy mounting, they are available in various directional formats for enhanced safety compliance."
BGL,BGL series,Standard Performance Flexible Earth Cable 0.6/1kV 90°C,"Firstflex BGL Series Standard Performance Flexible Earth Cable is designed for a variety of demanding applications, offering extreme flexibility and reliability. Rated at 0.6/1kV and capable of operating at temperatures up to 90°C, this cable is ideal for use in switchboards, flexible droppers from busbars, transformers, load banks, and other equipment requiring either fixed or flexible earth connections. It is also suitable for permanent submersion up to 200 metres, making it an excellent choice for pumping applications. Additionally, the BGL Series is well-suited for welding and electrode leads, providing the necessary durability and performance for these tasks. This versatile cable ensures dependable performance across a range of industrial and commercial settings."
AR,AR series,Ultra Performance Flexible Power & Control Cable 0.6/1kV 90°C,"Firstflex (All Rounder) AR series Ultra Performance Flexible Power & Control Cable 0.6/1kV 90°C is designed for a variety of demanding applications. It excels in cable festoon systems, making it ideal for backing gate, machine, and plant applications. This cable is also perfect for energy and drag chains, meeting the highest requirements in drag chain applications. In the food and beverage industry, its resistance to microbes and hydrolysis ensures durability and safety. Additionally, the AR series is well-suited for harsh environments, thanks to its high flexibility, robust TPE sheath, and tensile strength centre support. It can withstand conditions in compost, sewage, car washes, laundry/humid rooms, and outdoor settings. Key product features include oil resistance according to DIN EN 60811-404 at 100°C, silicone-free composition, UV, ozone, and weather resistance per EN 50396 and HD 605 S2, and resistance to coolant fluids, microbes, hydrofluoric acid, salt acid, and weakened sulfuric acid. The ripcord feature allows for faster and core-protected dismantling."
MCN,MCN series,Standard Performance Fixed Circular TPS Cable 450/750V 90°C (No-Earth),"Firstflex MCN series is designed for a variety of applications, including power distribution for mains and submains in fixed installations, direct burial as part of a Category B wiring system, and outdoor use in wet locations not prone to mechanical damage. Additionally, with the appropriate explosion-proof glands, this cable can be installed in hazardous areas subject to explosion risks, in compliance with AS/NZS 60079.14. The product features metre marking for better length control, UV stabilisation, flame retardancy, and resistance to heat, oil, and chemicals."
MCX,MCX series,High Performance Fixed Circular TPS Cable 0.6/1kV 90°C,"Firstflex MCX series is designed for a variety of applications, including power distribution for mains and submains in fixed installations, direct burial as part of a Category B wiring system, and outdoor use in wet locations not prone to mechanical damage. It features flexible Class 5 conductors for easy installation in fixed applications. Additionally, with the correct explosion-proof glands, this cable can be installed in hazardous areas subject to explosion risks, in compliance with AS/NZS 60079.14. The product also boasts metre marking for better length control, UV stabilisation, flame retardancy, and resistance to heat, oil, and chemicals."
MCHS,MCH SWA series,Standard Performance Fixed SWA Circular TPS Cable 0.6/1kV 90°C,"Firstflex MCH-SWA series cables are versatile and robust, designed for various applications including control and signal circuits, whether unenclosed, enclosed, or for direct burial. The steel armour provides mechanical protection, enabling the cable to withstand higher stresses, making it suitable for direct burial and use in external or underground projects. These cables are ideal for outdoor use and wet locations where mechanical protection is essential. The armouring is typically connected to earth, serving as the circuit protective conductor (earth wire). With the appropriate explosion-proof glands, these cables can be installed in hazardous areas subject to explosion risks, complying with AS/NZS 60079.14 standards. Key product features include suitability for direct burial, steel wire armouring, UV stabilisation, flame retardancy, metre marking for better length control, and resistance to heat, oil, and chemicals"
MCPS,MCP SWA series,Standard Performance Fixed SWA Circular TPS Cable 0.6/1kV 90°C,"MCP SWA series is highly versatile, suitable for various applications including mains and submains in fixed installations. Its steel armour provides robust mechanical protection, making it ideal for direct burial and capable of withstanding higher stresses, which is perfect for external or underground projects. Additionally, it is suitable for outdoor use and wet locations where mechanical protection is essential. With the correct explosion-proof glands, this cable can be safely installed in hazardous areas subject to explosion risks, complying with AS/NZS 60079.14 standards. The product features include suitability for circuits buried directly, steel wire armouring, UV stabilisation, flame retardancy, metre marking for better length control, and resistance to heat, oil, and chemicals."
MCXS,MCX SWA series,Standard Performance Fixed SWA Circular TPS Cable 0.6/1kV 90°C,"MCP SWA series is designed for a wide range of applications, making it suitable for mains and submains in fixed installations. Its steel armour provides excellent mechanical protection, allowing the cable to withstand higher stresses, making it ideal for direct burial in external or underground projects. Additionally, it is suitable for outdoor use and wet locations where mechanical protection is essential. With the correct explosion-proof glands, this cable can be safely installed in hazardous areas subject to explosion risks, in compliance with AS/NZS 60079.14 standards. Key product features include suitability for circuits buried directly, steel wire armouring, UV stabilisation, flame retardancy, metre marking for better length control, and resistance to heat, oil, and chemicals."
CT,CT series,Ultra Performance Flexible Rubber Control Cable 300/500V 90°C,"Firstflex Chemtuff CT Series is an ultra-performance flexible rubber control cable designed for reliability and durability in demanding environments. Rated at 300/500V and 90°C, it is ideal for control and signal applications, including use with machinery, portable tools, and industrial equipment. The high-flexibility cable features a tough SER sheath, offering excellent resistance to oil, heat, abrasion, solvents, and ozone, making it well-suited for harsh industrial conditions. Its UV stabilisation and flame-retardant properties further enhance its durability, making it suitable for both indoor and outdoor lighting and entertainment setups. With extremely fine stranded copper conductors, this cable ensures exceptional flexibility and robust performance in a wide range of applications."
CTP,CTP series,Standard Performance Flexible Control Cable 300/500V 80°C,"Firstflex CTP Series is a standard-performance flexible control cable designed for versatility and reliability in industrial and commercial applications. Rated at 300/500V and 80°C, it is ideal for control and signal use in machines, portable tools, and conveying equipment, as well as for indoor lighting and control leads. Featuring fine stranded copper conductors and a specially designed flexible PVC sheath, it offers high flexibility for fixed installations and occasional flexing without tensile load. UV stabilised, flame retardant, and resistant to heat, oil, and chemicals, this cable delivers dependable performance in a range of environments, with stranding to VDE 0295 Class 5 and 6 for added durability."
CTPH,CTP-H series,High Performance Flexible LSHF Control Cable 300/500V 90°C,"Firstflex CTP-H Series is a high-performance flexible LSHF (Low Smoke Halogen Free) control cable, designed for demanding applications requiring safety, durability, and environmental resistance. Rated at 300/500V and 90°C, it features tinned fine stranded copper conductors and a flexible, LSHF sheath, making it ideal for marine use in superyachts, pleasure craft, and other marine installations. Its versatility extends to industrial control and signal applications, indoor and outdoor lighting, and rail or rolling stock environments, including buses and coaches. With a submersion rating up to 200 meters, it is also suitable for pump control. UV stabilised, flame retardant, and resistant to heat, oil, and chemicals, the CTP-H Series delivers exceptional flexibility and robust performance across a wide range of challenging environments."
JFCH,JFCY-H series,High Performance Flexible LSHF CBS Control Cable 300/500V 80°C,"Firstflex JFCY-H series is a high-performance flexible LSHF CBS control cable, rated for 300/500V and temperatures up to 80°C. Designed for marine applications, it is ideal for installation in superyachts, pleasure craft, and other demanding environments. Suitable for control and signal tasks, it performs reliably in industrial settings, including machines, portable tools, and conveying equipment. The cable’s PVC-free, low-smoke halogen-free design ensures safety, while its submersible capability up to 200 metres makes it ideal for pump control systems. With features like high flexibility, UV stabilisation, flame retardance, and resistance to abrasion, ozone, heat, oil, solvents, and chemicals, the JFCY-H series delivers robust performance."
JFCY,JFCY series,Standard Performance Flexible CBS Control Cable 300/500V 80°C,"Firstflex JFCY series is a flexible CBS control cable rated for 300/500V and temperatures up to 80°C, designed for control and signal applications in industrial environments. It is ideal for use with machines, portable tools, and conveying equipment, offering screened cable performance for EMC compliance. Built for durability, it features high flexibility, UV stabilisation, and resistance to abrasion, ozone, heat, oil, solvents, and chemicals. Flame retardant and designed for grounding with EMC-compatible glands, the JFCY series prevents external interference and ensures reliable performance in both fixed installations and occasional flexing applications."
JFOB,JFOB series,Standard Performance Flexible Control Cable Coloured Cores (no Earth) 300/500V 80°C,"Firstflex JFOB Series is a versatile control cable ideal for managing signals and controls in industrial applications such as machines, portable tools, and conveying equipment. Designed for fixed installations and occasional flexing without tensile load, it features coloured cores for easy identification. Built with high flexibility, the cable is UV stabilised, flame retardant, and resistant to heat, oil, and chemicals, ensuring dependable performance in demanding environments. Rated for 300/500V and up to 80°C, it is a reliable solution for industrial control needs"
FTIS,FT50/55-CS / SWAIS series,High Performance Intrinsically Safe Multipair SWA Overall Foil Screened Tinned Instrumentation Cable 110VAC 90°C,"Firstflex FT50/55-CS/SWAIS series is a high-performance, intrinsically safe multipair instrumentation cable with steel wire armour (SWA), designed for use in hazardous and harsh environments. Featuring tinned copper conductors and overall foil screening, it is ideal for intrinsically safe circuits in the oil and gas industries, mine sites, and marine applications. Its highly pliable, UV-stabilised, flame-retardant PVC sheath provides excellent resistance to heat, oil, and chemicals, while meeting IEC 60332-3-22 standards for reduced flame propagation. This cable is perfect for signal, control, and instrumentation applications in industrial and marine settings, offering reliable and safe performance."
HC,HCG3 series,High Performance Flexible Overall Foil Screened Cable 110V 75°C,"Firstflex HCG3 series is a high-performance, flexible cable with overall foil screening, designed for superior signal integrity and durability in various applications. Featuring tinned fine-stranded copper conductors, it is ideal for RS232, RS423, and building and home BUS automation systems, as well as audio controls and E.L.V signal and power control in industrial machinery, conveying equipment, and instrumentation. Suitable for marine environments, the HCG3 series offers excellent resistance to external interference, UV exposure, heat, oil, and chemicals, ensuring reliable performance at 110V and 75°C."
CP,CP series,Extreme Performance Flexible PUR Energy Chain Control Cable 300/500V 80°C,"Firstflex CP Series is an extreme-performance flexible PUR energy chain control cable designed for the most demanding industrial applications. With a voltage rating of 300/500V and a temperature tolerance of up to 80°C, it is ideal for energy and drag chains requiring continuous movement and tight bending radii. Engineered for use in power control or signal transmission, the CP Series is highly robust. Its features include exceptional flexibility, long service life, high resistance to oils, solvents, acids, and coolant emulsions, and outstanding abrasion and tear resistance. UV-stabilised, flame-retardant, and resistant to ozone, hydrolysis, and microbes, this cable is built to endure extreme environments."
RH,RH series,High Performance Flexible Energy Chain Control Cable 300/500V 80°C,"Firstflex RH Series is a high-performance flexible energy chain control cable designed for demanding industrial applications. With a voltage rating of 300/500V and a temperature tolerance of up to 80°C, it is ideal for energy and drag chains requiring continuous movement and tight bending radii. Suitable for power control or signal transmission in machines, portable tools, and conveying equipment, the RH Series offers exceptional durability. Key features include extra high flexibility, UV stabilisation, flame retardance, and resistance to heat, oil, and chemicals, making it a reliable choice for dynamic and harsh environments."
RHCY,RHCY series,High Performance Flexible CBS Energy Chain Control Cable 300/500V 80°C,"Firstflex RHYC Series is a high-performance flexible CBS energy chain control cable designed for industrial applications requiring screened cables for EMC protection. With a voltage rating of 300/500V and a temperature tolerance of up to 80°C, it is ideal for energy and drag chains where continuous movement and tight bending radii are necessary. The cable features extra high flexibility, UV stabilisation, flame retardance, and resistance to heat, oil, and chemicals. Its screened design prevents external interference, ensuring reliable signal transmission, and it should be earthed using EMC-compatible glands for optimal performance."
FT,FT50/55-CS / SWA series,High Performance Multipair SWA Overall Foil Screened Tinned Instrumentation Cable 110VAC 90°C,"Firstflex FT50/55-CS/SWA series is a high-performance multipair instrumentation cable with steel wire armour (SWA), designed for durability in harsh and hazardous environments. Featuring tinned copper conductors and overall foil screening, it is ideal for instrumentation applications in the oil and gas industries, mine sites, and marine environments. With a highly pliable, UV-stabilised, flame-retardant PVC sheath, this cable resists heat, oil, and chemicals, while its reduced flame propagation meets IEC 60332-3-22 standards. Perfect for power control, signal, and instrumentation on industrial machinery, it delivers reliable performance in demanding condition"
BGLH,BGLH series,Standard Performance Flexible LSHF Earth Cable 0.6/1kV 110°C,"Firstflex BGLH series is a versatile, high-performance flexible LSHF Earth Cable designed for a wide range of applications, including power distribution in data centres, switchboards, transformers, and load banks. With extreme flexibility, it is ideal for both fixed and flexible earth cable installations. The cable is suitable for use in pumping systems, capable of permanent submersion up to 200 metres, as well as welding and electrode leads. Key features include low smoke halogen-free construction, water and moisture resistance, UV stability, flame retardancy, and resistance to heat, oil, and chemicals, making it a robust solution for demanding environments."
RUNP,,Runpotec reel management accessories,
ON,ON series,Ultra Performance Flexible Rubber Single Sheath Cable 0.6/1kV 90°C,"Firstflex ON Series is an ultra-performance flexible rubber single sheath Chemtuff cable designed for demanding applications. Rated at 0.6/1kV and capable of withstanding temperatures up to 90°C, this cable excels in environments requiring high resistance to chemicals, solvents, oils, and fats. Its heavy-duty insulation and outstanding flexibility make it ideal for extension leads on construction sites, machine tools, construction and engineering equipment, and conveyors. The ON Series is also suitable for permanent submersion up to 200 metres, making it perfect for pumping applications. Additionally, its extra durable SER sheath ensures reliability for outdoor temporary power supply and lighting leads in entertainment settings. Key features include UV stabilisation, flame retardancy, extreme flexibility, water and moisture resistance, and resistance to heat, oil, and chemicals."
IC,ICLV series,FIRSTFLO Standard Performance Irrigation Cable 25VAC/60VDC 75°C,"Firstflex ICLV Series is a standard-performance irrigation cable, designed for controlling valves in residential and commercial irrigation systems, including golf courses and fruit orchards. Operating at 25VAC/60VDC with a temperature rating of 75°C, it is built to withstand harsh environmental conditions and is resistant to ground chemicals. Featuring a high-density polypropylene construction, it is UV stabilised, water and moisture resistant, and offers excellent resistance to heat, oil, and chemicals, ensuring long-lasting performance in demanding irrigation applications."
MST,MST series,High Performance Flexible Appliance / Marine Wire 0.6/1kV 90°C,"Firstflex MST series is a high-performance, flexible appliance and marine wire rated at 0.6/1kV and 90°C. It is designed for a variety of applications, including power distribution in switchboards, motors, and transformers, as well as marine environments where tinned copper conductors are essential for boat wiring and other marine uses. Additionally, it is ideal for audio amplifiers and equipment requiring oxygen-free copper wire. The MST series boasts several key features: it uses tinned fine stranded copper conductors, is UV stabilised, flame retardant, and metre marked for better length control. Furthermore, it is resistant to oil and chemicals, making it a robust and reliable choice for demanding environments."
SOL,Solar series,Standard Performance Solar Cable 1.0/1.5kV DC 120°C,"Firstflex Solar Series is a standard-performance solar cable, designed for photovoltaic power supply systems, operating at 1.0/1.5kV DC with a temperature rating of 120°C. Ideal for interconnecting solar modules and DC/AC inverters, it features a tinned fine-stranded copper conductor for enhanced conductivity and longevity. Built for outdoor durability, it is UV resistant, flame retardant, and offers resistance to heat, oil, and chemicals, ensuring reliable performance in solar energy applications."
GL,GLT series,High Performance Flexible Twin Garden Lighting Cable ELV 90°C,"Firstflex GLT series is a high-performance, flexible twin garden lighting cable rated for extra-low voltage (ELV) applications and up to 90°C. It is specifically designed for festoon and garden lighting, where a flexible, water-resistant PVC cable is essential. The GLT series features a raised rib on one core for easy polarity identification (+/-), ensuring correct installation. It also includes tinned fine stranded copper conductors, providing excellent conductivity and durability. Additionally, the cable is UV stabilised, water-resistant, and resistant to heat, oil, and chemicals, making it a reliable choice for outdoor lighting in various environmental conditions."
NS,NST TRAYSCREEN series,Standard Performance Fixed Neutral Screen Cable 0.6/1kV 90°C,"Firstflex NST Series is versatile, catering to various applications such as trayscreen commercial cable tray installations, consumer mains for domestic and commercial use (suitable for burial with added protection or in conduit), internal wiring for fixed applications between distribution boards, motor cabling for fixed applications between motor control and electric motors, and lighting circuits where mechanical protection is required. The product features a 1.8mm SPVC sheath, which has a smaller outer diameter compared to standard NS cables, making installation easier. Additionally, the cables are metre marked for better length control, UV stabilised, flame retardant, and resistant to heat, oil, and chemicals, ensuring durability and reliability in demanding environments."
