Stock Group,Series name,Short description,Marketing description
SC01,,IP67 Omnia interlocked switch socket outlet,"Scame’s Omnia interlocked switch socket outlets are designed for industrial environments, offering both IP44 and IP67 protection levels to suit different operational needs. The IP44 Omnia series provides protection against solid objects over 1 mm and splashing water, making it ideal for indoor applications where moderate environmental exposure is expected. Meanwhile, the IP67 Omnia series ensures complete protection against dust and temporary immersion in water, making it suitable for harsher environments such as outdoor and industrial settings. Both series incorporate a mechanical interlock system, preventing connection or disconnection under load for enhanced safety. Available in 16A to 125A ratings and compliant with IEC 60309 standards, these outlets offer reliability and durability for demanding applications."
CFX,CFX series,Standard Performance Flexible (fixed application) SDI Cable 0.6/1kV 90°C,"Firstflex CFX series offers standard performance flexible SDI cables, rated at 0.6/1kV and 90°C, designed for fixed applications. These cables are ideal for power switchboards, submains, subcircuits, and can be buried in underground or overhead ducts. They are also suitable for transformers, load banks, and other equipment requiring fixed installations. The CFX series excels in pumping applications, supporting permanent submersion up to 200 metres, and serves as reliable leads for temporary power supplies in generator sets. In telecommunications, they provide minimal voltage drop with finely stranded large cross-section cables, perfect for fixed applications. Additionally, their small overall diameter makes them ideal for tight spaces."
MBS,MBS series,Standard Performance Flexible Marine Battery / Starter Cable 50V AC /120V DC 75°C,"Firstflex MBS series is a standard performance flexible marine battery and starter cable, rated for 50V AC or 120V DC and up to 75°C. Designed for marine battery and starter applications, it is suitable for installation and intermittent flexible use with free movement and no tensile stress. With oxygen-free copper for superior audio performance, the MBS series offers high electrical and thermal conductivity. UV stabilised, flame retardant, and resistant to heat, oil, and chemicals, it ensures durability and reliable operation in both marine and audio environments."
MFE,MFE series,Standard Performance Flexible Marine Figure 8 50V AC/120V DC 75°C,"Firstflex MFE series is a standard performance flexible marine Figure 8 cable, rated for 50V AC or 120V DC and up to 75°C. Designed for use in pleasure crafts and other marine applications, it is ideal for installation and intermittent flexible use with free movement and no tensile stress. Featuring oxygen-free copper for superior speaker and audio control performance, the MFE series offers high electrical and thermal conductivity. UV stabilised, flame retardant, and resistant to heat, oil, and chemicals, it ensures reliable and durable performance in demanding marine and audio environments."
MTR,MTR series,Standard Performance Flexible Marine Trailer Cable 50V AC / 120V DC 90°C,"Firstflex MTR series is a standard performance flexible marine trailer cable, rated for 50V AC or 120V DC and up to 90°C. Designed for marine applications such as pleasure crafts, as well as automotive trailer wiring, it is suitable for installation and intermittent flexible use with free movement and no tensile stress. Featuring high electrical and thermal conductivity, the MTR series is UV stabilised, flame retardant, and resistant to heat, oil, and chemicals, providing durability and reliable performance in demanding environments."
MTS,MTS series,Standard Performance Flexible Marine Twin Sheath 50V AC /120V DC 90°C,"Firstflex MTS series is a standard performance flexible marine twin sheath cable, rated for 50V AC or 120V DC and up to 90°C. Designed for use in pleasure crafts and other marine applications, it is suitable for installation and intermittent flexible use with free movement and no tensile stress. Featuring a tinned copper conductor for superior corrosion resistance, it is ideal for speaker wiring applications, offering high electrical and thermal conductivity. UV stabilised, flame retardant, and resistant to heat, oil, and chemicals, the MTS series ensures reliable and durable performance in marine and audio environments."
TR,TC Loop series,High Performance Fixed Instrumentation Traffic Loop Cable 250V 80°C,"Firstflex TC Loop Series is a high-performance, fixed instrumentation traffic loop cable, designed for traffic signal applications operating at 250V with a temperature rating of 80°C. Engineered to function within the 20kHz to 200kHz frequency range, it is specifically designed for installation in slots cut into road surfaces. With UV resistance, flame retardancy, and resistance to heat, oil, and chemicals, the TC Loop Series ensures durability and reliable performance in demanding traffic management environments."
GC,GCHSHD series,Galvanised Distance Saddles (5mm Stand Off),"Firstflex GCHSHD Series Galvanised Distance Saddles provide secure conduit support with a 5mm stand-off, ensuring proper spacing and stability in electrical installations."
CFXH,CFXH series,Standard Performance Flexible (Fixed application) LSHF SDI Cable 0.6/1kV 110°C,"Firstflex CFXH series is a standard-performance, flexible low-smoke halogen-free (LSHF) SDI cable designed for fixed applications requiring durability and safety. With a 0.6/1kV voltage rating and 110°C operating temperature, it is ideal for power switchboards, submains, data centers, transformers, load banks, and telecommunications where minimal voltage drop is essential. Engineered for reliability, it is suitable for generator set leads and permanent submersion up to 200 meters in pumping applications. Featuring a compact diameter for tight spaces, this cable is flame retardant, UV stabilised, and resistant to water, moisture, heat, oil, and chemicals, ensuring long-term performance in demanding environments."
VIN,VIN series,Standard Performance Fixed Circular TPS Cable 0.6/1kV 75°C,"Firstflex VIN Series are single core, double insulated, PVC Vintol® cables. They are metre marked and have class 2 fixed conductors making for easy termination. Fixed applications where Vintol® cables are used include: pole top breakout connections, utility power terminations, meter and switchboard wiring."
FTM,FTM series,High Performance Flexible Twin Marine Cable 300/500V 75°C,"Firstflex FTM series is ideal for a variety of applications. In marine environments, these cables are perfect for wiring on pleasure craft and other marine uses that require flexible tinned copper conductors. For lighting, these cables are excellent for festoon and garden lighting where flexibility is essential. Additionally, the FTM Series is well-suited for audio applications, providing power to amplifiers and audio equipment with oxygen-free copper wire for superior sound quality."
BCW,BCW series,Standard Performance Bare Copper Wire CU Strand - Soft Drawn,"Firstflex BCW series, is designed for various applications including transformer earth leads, earth grids, and electrical grounding systems."
MCXV,MCX VEC series,Standard Performance Fixed Service Cable 0.6/1kV 90°C,"Firstflex MCX VEC series is designed for a wide range of applications, including service cables for domestic, commercial, and industrial purposes. These cables meet the requirements for connection to the point of supply on the Vector network, making them suitable for consumer mains in underground domestic and commercial subdivisions. The product features include a plain annealed circular stranded conductor, metre marking for better length control, UV stabilisation, flame retardancy, and resistance to heat, oil, and chemicals. These attributes ensure durability and reliability in various environments."
JC,JC series,Standard Performance Flexible Control Cable Coloured Cores 300/500V 80°C,"Firstflex JC Series is a versatile and durable control and signal cable designed for a wide range of industrial applications, including use on machines, portable tools, and conveying equipment. Suitable for fixed installations and occasional flexing without tensile load, it features coloured cores for applications where color coding is essential. With high flexibility, UV stabilisation, and flame retardancy, the JC Series is built to withstand demanding environments. It is also resistant to heat, oil, and chemicals, ensuring reliable performance at 300/500V and up to 80°C."
VC,VC series,Standard Performance Flexible Valve Control Cable 300/500V 90°C,"Firstflex VC Series is a durable and flexible valve control cable specifically designed for use in dairy factory applications. With fine-stranded tinned copper conductors, it offers excellent conductivity and reliability. The cable is UV stabilised, flame retardant, and resistant to heat, oil, and chemicals, ensuring it performs consistently in challenging environments. Rated at 300/500V and capable of withstanding temperatures up to 90°C, the VC Series is ideal for critical valve control operations"
SOU,SOU series,Standard Performance Fixed LSHF CBS Shipboard / Offshore Data Cable 250V 90°C,"Firstflex SOU series is a standard performance fixed LSHF CBS data cable, rated for 250V and up to 90°C. Designed for marine applications, it is ideal for fixed wiring on oil and gas rigs, shipboard systems, and other environments requiring EMC-compliant screened cables. Additionally, it is well-suited for rail and rolling stock, including locomotives, rail cars, buses, and coaches. Its lightweight, small-diameter design offers an efficient solution for tight spaces, making it a versatile alternative to traditional braided cables. With a low-smoke halogen-free, PVC-free construction, it is UV stabilised, flame retardant, and resistant to heat, oil, and chemicals, ensuring reliable performance in demanding conditions"
PR,PRRT series,Extreme Performance Flexible PUR-HF Reeling/Trailing/Vertical Cable 0.6/1kV 90°C,"Firstflex PRRT Series is an extreme-performance, flexible PUR-HF reeling, trailing, and vertical cable, designed for high-stress industrial environments, operating at 0.6/1kV with a temperature rating of 90°C. Featuring a super-tough PUR sheath with interwoven synthetic yarn, it is built for trailing applications, vertical suspension, and high-speed material handling systems, including cable reelers, ship loaders, gantry cranes, stackers, reclaimers, hoists, and magnetic cranes traveling up to 180m/min. Ideal for mine sites, steelworks, smelters, and sub-zero environments, it offers exceptional durability with a significantly smaller external diametre, reduced weight, and smaller bending radii. Engineered for frequent winding and unwinding under simultaneous tensile and torsional stress, it provides robust, all-weather resistance, is self-extinguishing and flame retardant, and withstands ozone, radiation, oil, grease, and petrol. With a tensile strength of up to 25N/mm², the PRRT Series delivers maximum reliability in the toughest conditions."
PN,P series,High Performance Flexible Rubber Pendant / Lift Cable with Central or External Support 300/500V 75°C,"Firstflex P Series is a high-performance, flexible rubber pendant and lift cable designed for cranes, hoists, and lifts, operating at 300/500V with a temperature rating of 75°C. It is available in two types: P Type, featuring a central support system that prevents inner core breakage during twisting, allowing for free suspension up to 80 metres, and P2S Type, which incorporates external steel wire supports for strain relief, anti-twist properties, and extended cable life under tension. Built with extremely fine-stranded copper conductors, the cable offers exceptional flexibility, UV stabilisation, flame retardancy, and resistance to oxidation, ozone, heat, oil, and chemicals. Its high tensile strength, tearing strength, and abrasion resistance make it a durable and reliable solution for demanding material handling applications."
MSMA,MSMA series,Standard Performance Fixed LSHF CBS Shipboard / Offshore Power Cable 0.6/1kV 90°C,"Firstflex MSMA series is a standard performance fixed LSHF CBS power cable, Lloyds approved and rated to 0.6/1kV and up to 90°C, designed for marine and offshore environments. It is ideal for fixed wiring on oil and gas rigs, shipboard systems, and other applications requiring EMC screened cables. Suitable for rail and rolling stock, including locomotives, rail cars, buses, and coaches, it features a low-smoke halogen-free, PVC-free construction. UV stabilised, flame retardant, and resistant to heat, oil, and chemicals."
HO,HR series,High Performance Flexible Rubber Cable 450/750V 60°C,"Firstflex HR series High Performance Flexible Rubber Cable 450/750V 60°C is engineered for a wide range of challenging applications. In hazardous areas, when paired with explosion-proof glands, it can be safely installed in locations with explosion hazards rated 0.6/1kV (DIN VDE 0165). This cable is ideal for wastewater treatment plants, capable of submersion in polluted liquids and aggressive environments up to 10 meters. Its extra durable CPE sheath makes it perfect for outdoor temporary power supplies and lighting leads in the lighting and entertainment industry. On construction sites, the HR series is favoured for its outstanding flexibility, durability, and cable memory. It is also suitable for pumping applications, with the ability to be permanently submerged up to 200 metres. Additionally, it excels in materials and handling systems, being suitable for cable spring reelers and large energy chains. Key product features include UV stabilisation, flame retardance, water and moisture resistance, good elongation at break, and resistance to environmental factors such as oxidation, ozone, and sunlight. It also boasts good tensile strength, tearing strength, abrasion resistance, and is heat, oil, and chemical resistant."
JT,JT series,Standard Performance Flexible Control Cable Coloured Cores 300/500V 80°C,"The Firstflex JT Series is a standard-performance flexible control cable designed for a wide range of industrial applications. Rated at 300/500V and 80°C, it is ideal for control and signal tasks on machines, portable tools, and conveying equipment. Flexible enough for fixed installations or occasional flexing without tensile load, this cable features coloured cores for easy identification in specific applications. With fine-stranded copper conductors, UV stabilisation, flame retardance, and resistance to heat, oil, and chemicals, the JT Series delivers reliable performance in demanding environments."
JTCY,JTCY series,Standard Performance Flexible CBS Control Cable Coloured Cores 300/500V 80°C,"Firstflex JTCY series is a standard performance flexible CBS control cable with colored cores, rated for 300/500V and up to 80°C. Designed for control and signal applications, it is ideal for machines, portable tools, conveying equipment, and other industrial uses requiring EMC-compliant screened cables. Suitable for fixed installations and occasional flexing without tensile stress, it features high flexibility, UV stabilisation, and flame retardance. Resistant to heat, oil, and chemicals, the JTCY series prevents external interference and must be grounded with EMC-compatible glands, making it a reliable choice for applications needing colored cores."
FLAT,F-PVC series,High Performance Flexible Flatform Cable Indoor/Outdoor 450/750V 70°C,"Firstflex F-PVC series is a high-performance, flexible flatform cable designed for both indoor and outdoor applications, operating at 450/750V with a temperature rating of 70°C. It is ideal for material handling systems, including cranes, festooning systems, conveyor systems, and energy chains, where flexibility and durability are essential. Its flat design allows for easy installation in confined spaces, while its UV-stabilised, flame-retardant, and chemical-resistant properties ensure long-lasting performance in humid, wet, and outdoor environments. Additionally, it supports permanent submersion up to 200 metres, making it suitable for pumping applications. With a tensile load capacity of up to 15 N/mm², a travel speed of 180 metres per minute, and resistance to oxidation, ozone, and extreme temperatures, the Firstflex F-PVC series is built for reliability in demanding conditions."
E5,E50/55-CS series,Standard Performance Multipair Overall Foil Screened Instrumentation Cable 110Vac 90°C,"Firstflex E50/55-CS series is a standard-performance multipair instrumentation cable with overall foil screening, designed for reliable signal and power control in industrial applications. Suitable for use in machines, conveying equipment, and similar setups, this cable offers durability and performance at 110Vac and 90°C. Its UV-stabilised, flame-retardant construction meets IEC 60332-1 standards, providing excellent resistance to heat, oil, and chemicals, making it a dependable choice for various industrial environments."
CC,CC series,Extreme Performance Industrial Curly Cord Spiral Cables PUR Outer Sheath 1:4 Elasticity Ratio,"Firstflex CC Series is an extreme-performance industrial curly cord spiral cable, designed with a super-durable PUR outer sheath and a 1:4 elasticity ratio for long-lasting flexibility and reliability. Ideal for mobile power tools in production lines, engineering workshops, and laboratory environments, it features excellent elasticity, reverse bending strength, and extreme abrasion resistance. Additionally, its microbe and hydrolysis resistance make it well-suited for the food and beverage industry. Built for harsh conditions, the CC Series is UV stabilised, flame retardant, and resistant to oil, chemicals, and microbes, ensuring exceptional durability in demanding industrial applications."
B,BCB series,High Performance CANBUS E.L.V BUS / Automation Cable,"Firstflex BCB Series offers high-performance CANBUS and automation cables designed for demanding applications. These cables are ideal for Control Area Network (CANBUS) systems in automation technology, where complex controllers and control units need seamless networking. Their versatility makes them suitable for industries like textiles, construction machinery, and medical devices. The series includes options for fixed indoor wiring and drag chain applications, ensuring reliability in energy chains and harsh industrial or outdoor environments. Key features include low-capacitance foam skin polyethylene insulation, oil-resistant SPVC, UV stabilisation, flame retardance, and excellent resistance to heat, chemicals, and oil. The drag chain series also offers superior bending strength and durability, making it a robust choice for tough conditions."
SICY,SICY series,High Performance Flexible Silicone Rubber SWB High Temperature Cable 300/500V 180°C,"Firstflex SICY Series is a high-performance, flexible silicone rubber steel wire braided (SWB) cable designed for extreme temperature and tough environments. Rated at 300/500V and capable of withstanding temperatures up to 180°C, it is ideal for kilns, boilers, lighting, and other high-temperature applications, while also performing reliably in cold conditions down to -60°C. The steel wire braid enhances mechanical strength and provides disturbance-free signal transmission, making it suitable for demanding industrial environments. Featuring a tinned fine-stranded copper conductor, halogen-free composition, and high ignition resistance, the cable maintains excellent dielectric strength and insulation stability at elevated temperatures. It is UV stabilised, flame retardant, and resistant to oxidation, ozone, heat, oil, and chemicals, ensuring durability in harsh conditions. Additionally, in the event of a fire, the silicone insulation forms a protective SiO? layer for added safety, making the Firstflex SICY Series a reliable choice for high-performance electrical installations in challenging environments."
TWT,TW-T series,High Performance Flexible Twin Marine Cable 0.6/1kV 90°C,"TW-T series is a versatile solution for various applications. In marine settings, it provides reliable battery power supplies and winch operations. For automotive use, it serves as durable battery/jumper cables and power leads for forklifts and field conveyors, suitable for both indoor and outdoor environments. In telecommunications, its finely stranded large cross-section ensures minimal voltage drop. Additionally, it excels in audio applications, supplying power to amplifiers and audio equipment with oxygen-free copper wire for superior sound quality."
CORD,,3 Pin Moulded male plug & 75mm Stripped Tails 250/440V V-90,"Firstflex Cordset is a durable 3-metre power replacement cord for power tools, construction, and engineering equipment. Featuring a 3-pin molded male plug with 75mm stripped tails, it operates at 250/440V V-90. With high-flexibility Class 5 copper conductors, it is UV stabilised, oil, and chemical resistant, ensuring reliable performance in tough environments."
SC03,,IP67 Optima plug,"Scame's OPTIMA Series offers industrial plugs with IP44 and IP67 ratings, ensuring reliable performance in various environments. The IP44-rated plugs are splash-proof, suitable for indoor and light-duty applications, while the IP67-rated plugs are dust-tight and protected against temporary immersion, ideal for demanding conditions. Available in current ratings from 16A to 125A, these plugs feature robust construction and screw terminals for secure connections."
SC06,,IP67 Optima plug,"Scame's OPTIMA Series offers industrial plugs with IP44 and IP67 ratings, ensuring reliable performance in various environments. The IP44-rated plugs are splash-proof, suitable for indoor and light-duty applications, while the IP67-rated plugs are dust-tight and protected against temporary immersion, ideal for demanding conditions. Available in current ratings from 16A to 125A, these plugs feature robust construction and screw terminals for secure connections."
CAMP,,Domestic power supply adaptors,"Electrex by Firstflex CAMPSAFE Domestic Power Supply Adaptors provide a safe and convenient way to connect caravans, RVs, and portable buildings to standard domestic power outlets. Featuring a 10A plug to 16A socket conversion, they include a built-in miniature circuit breaker (MCB) for overload protection. Designed for outdoor use, these adaptors come in various lengths up to 25 metres, with an IPX4 weatherproof enclosure for added durability."
ET,ET series,Brass Earth Tag,"Brass Earth Tags provide a reliable and efficient solution for grounding in cable gland installations. Manufactured from durable, high-quality brass, these earth tags ensure a secure electrical connection, enhancing safety and compliance with grounding requirements. Designed for versatility, they are compatible with various gland sizes and types, making them an essential accessory for industrial and commercial applications. Easy to install and built to last, Brass Earth Tags are the perfect choice for robust and effective earthing solutions."
GM,GMSH series,PVC Shroud,"PVC Shrouds offer a practical and cost-effective solution to enhance cable gland installations by providing additional protection against environmental factors. Designed to cover and seal the exposed parts of cable glands, they prevent the ingress of dirt, dust, and moisture while ensuring a clean and professional finish. Made from durable, flexible PVC, these shrouds are easy to install and available in various sizes to fit different cable glands. Ideal for industrial and commercial applications, PVC Shrouds deliver enhanced durability and protection for long-lasting performance."
GP,GPM/GPG series,Nylon Standard Gland IP68 (complete with Locknut),"The GPM/GPG series Nylon Standard Gland IP68, complete with locknut, is designed for watertight glanding of unscreened circular cables. These glands feature a sealing nut with a locking mechanism that ensures a firm grip on cables and accommodates a wider cable range. Installation is made easier with a long metric thread. Constructed from UL nylon 66 94V-2, the product is halogen-free, UV-stabilised, and self-extinguishing. Key components include a nylon body, EPDM rubber seal and washer, and a polyamide traction relief clamping insert. The glands operate efficiently within a temperature range of -40°C to 100°C, with short-term tolerances up to 120°C, and offer IP68 water protection with a pressure rating of 5 bar. These features make the GPM/GPG series a reliable choice for robust and durable cable glanding applications"
GK,GK-EMC series,Metal IP68 EMC Long Thread Gland for Screened Cables (less Locknut),"The GK-EMC Series Metal IP68 EMC Long Thread Gland is engineered for watertight glanding of screened circular cables, specifically for Variable Speed Drive (VSD) applications. It is ideal for glanding copper-braided screened VSD cables at both input (power source to drive) and output (drive to motor) ends. This gland is free from halogen, silicone, phosphorous, and cadmium, and is self-extinguishing. Constructed from bright nickel-plated extruded brass, it complies with BS EN 50262 1999 and BS 2874 CZ121 3Pb standards. It features a PCP (Neoprene) rubber seal and O-ring, along with a polyamide 6 traction relief clamping insert, providing enhanced reliability. The GK-EMC Series operates effectively in temperatures ranging from -40°C to 80°C, with short-term tolerances up to 100°C, and delivers IP68 water protection with a pressure rating of 5 bar. This makes it an excellent choice for demanding EMC cable glanding requirements."
LN,LN-EMC series,Bright Nickel Plated Brass EMC Locknuts with Cutting Edges,"Firstflex LN-EMC Series features bright nickel-plated brass EMC locknuts with cutting edges, designed to establish an electrically conductive connection for optimal screened cable performance?."
GRIP,LG series,Little Grippers 16mm and 20mm,"Firstflex LG Series, also known as ""Little Grippers,"" are nylon quick-action flex clamps designed for secure cable management. They are available in two sizes: 16mm, suitable for flexible cables with an outer diameter of 5mm to 10mm, and 20mm, accommodating cables from 8mm to 13mm. Each clamp comes with a lock bush to ensure a firm hold, making them ideal for various industrial and commercial applications."
RN,RN series,Bright Nickel Plated Brass Reducer,"Firstflex RN Series are bright nickel-plated brass reducers, designed for securely adapting larger threaded entries to smaller cable gland sizes in electrical installations?."
AM,AM series,Bright Nickel Plated Brass Enlarger,"Firstflex AM Series are bright nickel-plated brass enlargers, designed to adapt smaller threaded entries to larger cable gland sizes in electrical installations"
CLWM,CLWM series,Wide Mouth Crimp Lugs,"Firstflex CLWM Series are wide mouth crimp lugs, designed for easier termination of fine-stranded cables, ensuring secure and reliable electrical connections?."
BF,BF series,Bootlace Ferrules Non-Insulated,"Firstflex BF Series are non-insulated bootlace ferrules, designed for secure and efficient termination of fine-stranded cables in electrical applications?."
KWH,,Single Phase Electronic Watt-hour Meter,
FSW,,Foot Switch,"Enhance workplace safety and boost machine efficiency with our robust Footswitch. Designed for hands-free operation, it allows seamless on/off control of electrical equipment, reducing employee risks and improving workflow. Constructed from durable cast aluminium with a powder-coated finish, it withstands tough environments while ensuring long-lasting performance. Featuring an 85mm entry for steel-capped boots, secure floor-mounting options, and IP65-rated protection against fluids, this footswitch is built for reliability. With 10 Amp (230V) / 5 Amp (400V) capacity, it’s the perfect solution for industrial applications where safety and durability matter."
PANL,,PVC Switchboard Panels,"Firstflex PVC Switchboard Panels are flame-retardant, self-extinguishing panels, designed for safe and durable electrical enclosures with customisable sizing options."
DINR,,Aluminium Extrusion DIN Rail,"Firstflex Aluminium Extrusion DIN Rail is a durable, precision-engineered mounting solution, designed for securely holding electrical components in control panels."
DSW,,Cupboard Door Switch,"Electrex by Firstflex cupboard door switches are compact, reliable solutions designed to automatically control lighting or other electrical functions when a cabinet or cupboard door is opened or closed. Ideal for kitchen cabinets, wardrobes, tool cupboards, and commercial storage units, these switches help improve convenience, energy efficiency, and safety. Built with durable materials and a simple yet effective mechanism, Electrex by Firstflex cupboard door switches ensure seamless operation and long-lasting performance. Whether for residential or commercial use, they provide an effortless way to enhance accessibility and automate lighting with precision."
FBOX,,"Single Metal, Open Plate and Double Metal Flush boxes","Firstflex Metal Flush Boxes, available in single, double, and open plate designs, provide secure and fire-rated enclosures for electrical fittings in fire-resistant walls. Built for durability and easy installation, they ensure safe and reliable housing for electrical components in both residential and commercial applications."
HOSG,,Extruded PVC Gasket,"Firstflex Extruded PVC Gasket is a flexible and durable sealing solution, designed for secure insulation and protection in electrical enclosures."
FLSW,,Gentech float switches,"Gentech float switches provide reliable, hassle-free liquid level monitoring for a wide range of applications, from industrial tanks to home water systems. Built with high-quality materials and precision engineering, these switches ensure accurate detection, seamless automation, and superior durability in even the harshest environments. Whether you need to control pumps, prevent overflow, or detect leaks, Gentech float switches offer a dependable, cost-effective solution designed to keep your systems running smoothly. Simple to install and maintenance-free, they’re the smart choice for efficient liquid management."
MBOX,,Meter Box - Double Window,"Electrex by Firstflex MGB1 Meter Box Double Window is a rugged and weather-resistant enclosure, designed to securely house electrical meters in residential and commercial applications. Featuring dual viewing windows for easy meter reading, it supports both surface and flush mounting for versatile installation. With an IPX4 rating and an included flashing kit for weather tightness, it ensures durability and protection in harsh environments. Constructed from high-quality, rust-proof materials, it meets UL94 HB flammability standards, making it an ideal choice for long-lasting performance, especially in coastal and corrosive environments."
TAPB,,Warning Tape,"Firstflex Warning Tapes are high-visibility underground markers, designed to identify buried electrical and communication cables. Compliant with AS/NZS 2648.1 standards, it ensures long-lasting durability in harsh soil conditions."
STRP,,Terminal Strips,"Firstflex Terminal Strip is a secure and organized wiring solution, designed for efficient electrical connections with various amp ratings."
CATN,,Catwire Carousel,"Firstflex Catenary Wire Carousel is a sturdy, powder-coated dispenser designed for efficient and tangle-free handling of catenary wire rolls."
CHAI,,Open Link Chain,"Firstflex Open Link Chain is a bright zinc-plated chain, designed for versatile and reliable load-bearing applications."
SCMC,,Protecta series,"Scame’s IP66 Protecta Series Mounting Box and Enclosures M95 offer rugged and weatherproof protection for electrical components in harsh industrial environments. With high impact resistance and secure sealing, they ensure durability and reliable performance against dust, water jets, and extreme conditions."
SC12,,IP67 Optima connector,"Scame's OPTIMA Series connectors are designed for industrial applications, offering both IP44 and IP66/IP67/IP69 protection ratings to suit various environmental conditions. These connectors are available in current ratings of 16A, 32A, 63A, and 125A, accommodating a wide range of power requirements. Constructed from robust thermoplastic material, they ensure durability and reliability in demanding settings. The connectors feature screw terminals for secure wiring and are compatible with both straight and angled cable entries, providing flexibility during installation."
SCDU,,Scame enclosure accessories,"Scame have a comprehensive range of enclosure accessories, enabling customisation and modifications for secure and efficient installations in various applications."
GFC,GFC series,Flexible Metal Conduit Galvanised Steel Bare IP40,"Firstflex GFC Series Galvanised Flexible Conduit is designed for high-performance cable protection in demanding environments, such as processing plants and areas exposed to sparks, heat, and mechanical hazards. Constructed from highly flexible, helically wound galvanised steel, it offers superior mechanical strength, halogen-free composition, and low fire hazard properties. With an IP40 protection rating and an operating temperature range of -40°C to 300°C, the GFC Series ensures reliable performance in industrial applications where durability and flexibility are critical."
SADL,HSG series,Galvanised Half Saddles,"Firstflex HSG Series Galvanised Half Saddles provide secure and durable support for conduits, ensuring stability in electrical installations."
ECO,Ecomate T3 series,Amphenol Circular Connectors with Threaded Collar M29 Diameter Polyamide,"Amphenol Ecomate T3 Circular Connectors are versatile, high-performance connectors designed for industrial, medical, and marine applications. Featuring a durable polyamide body with an M29 threaded collar, these connectors provide secure and reliable connections, preventing accidental uncoupling. With a strain relief mechanism and built-in gasket, they offer excellent sealing and protection against environmental factors. The IP67 rating ensures water and dust resistance when mated or capped, making them ideal for harsh conditions. Available in 3P+E and 6P+E configurations, they support various voltage and current ratings, ensuring compatibility with a wide range of electrical systems"
PL,PL series,Connectors for single core cables to 150mm²,"PL Series single-core cable connectors are designed for demanding applications, including temporary power supplies in the entertainment industry, industrial sites, and mining operations where daisy-chaining and extending flexible cables are essential. Constructed with super high-impact flame-retardant thermoplastic insulators, these connectors are color-coded and individually keyed to prevent accidental cross-mating. A secondary locking pin ensures secure connections, even under cable torsion or handling. With 23 spring-loaded active contact elements, they provide low insertion force, minimal power loss, and insulation resistance greater than 5 ohms at 500 V DC. Rated for 500 Amp at 70°C (upgradeable to 800 Amp), they are reliable and efficient, with optional protective and environmental dust caps available for added durability."
MULT,C146 series,"Heavy Duty Amphenol Multi-Pole Power Connectors THERMOPLASTIC 3P + E 1 Lever, 10 Amp 400V","Amphenol C146 Series Thermoplastic 3P + E 1 Lever, 10 Amp 400V connectors are heavy-duty multi-pole power connectors designed for industrial, medical, and entertainment applications. Featuring a rugged thermoplastic body, a secure single-lever locking mechanism, and silver-plated contacts, they provide reliable electrical connections. With an IP65 rating when mated, these connectors ensure durability and protection in demanding environments"
FTRD,RT series,Nylon Reducers,"Firstflex RT Series are durable nylon reducers, designed to adapt larger threaded entries to smaller cable gland sizes for secure and reliable electrical installations?."
